date,rank_score
2016-12-14,1809669
2017-09-27,1895890
2018-02-08,832510
2018-04-22,785331
2018-05-01,2192245
2018-05-10,2047712
2018-05-25,1304759
2018-05-26,878638
2018-08-26,4877589
2018-11-28,4311013
2018-11-29,831314
2018-11-30,652670
2018-12-29,593840
2019-01-02,2125841
2019-01-26,608783
2019-01-30,1815222
2019-02-13,888988
2019-02-14,13367828
2019-02-16,2488454
2019-02-18,1677865
2019-02-22,3403823
2019-02-24,2871857
2019-02-26,2378448
2019-02-27,3429629
2019-03-01,3494953
2019-03-03,774572
2019-03-07,727151
2019-03-08,1930757
2019-03-09,1875787
2019-03-12,2078868
2019-03-16,1257228
2019-03-18,1841492
2019-03-22,698447
2019-03-23,1297877
2019-03-23,2007846
2019-03-24,758495
2019-03-25,1820743
2019-03-26,18279140
2019-03-26,3128492
2019-03-27,1820889
2019-03-27,2552120
2019-03-28,1998723
2019-03-29,6120471
2019-03-29,803927
2019-03-29,1060026
2019-03-29,3525442
2019-03-29,1471307
2019-03-30,1897965
2019-03-30,1864693
2019-03-31,1777121
2019-03-31,1650510
2019-04-01,1719138
2019-04-01,2686780
2019-04-02,1534433
2019-04-03,1098257
2019-04-04,1346450
2019-04-04,1121698
2019-04-05,2795608
2019-04-05,998474
2019-04-05,1678418
2019-04-05,4868076
2019-04-05,2696990
2019-04-05,3038255
2019-04-05,1818876
2019-04-05,1114639
2019-04-06,1348748
2019-04-07,1299752
2019-04-08,2038785
2019-04-08,1974342
2019-04-09,1666539
2019-04-09,14471589
2019-04-09,1947966
2019-04-09,3078242
2019-04-09,4882850
2019-04-09,1175899
2019-04-09,1539578
2019-04-11,2391296
2019-04-11,4412925
2019-04-11,2048663
2019-04-11,1843904
2019-04-12,3227405
2019-04-12,1287524
2019-04-12,593855
2019-04-13,2615781
2019-04-13,2868626
2019-04-13,2536644
2019-04-13,2670293
2019-04-13,2164873
2019-04-13,2472441
2019-04-14,2190747
2019-04-14,659112
2019-04-14,788224
2019-04-14,957976
2019-04-14,1507529
2019-04-14,3546537
2019-04-14,2903359
2019-04-15,3281105
2019-04-15,725073
2019-04-15,3124251
2019-04-15,2681863
2019-04-15,3573946
2019-04-15,1441698
2019-04-15,1852998
2019-04-16,1359930
2019-04-16,1058843
2019-04-16,4436598
2019-04-16,662838
2019-04-16,1346281
2019-04-16,933062
2019-04-16,10719492
2019-04-16,1008305
2019-04-17,2881690
2019-04-17,1228914
2019-04-17,1159907
2019-04-17,1379674
2019-04-18,1428085
2019-04-18,621135
2019-04-18,1190661
