pubdate,title,danmaku,arcurl,aid
2016-12-14,-1,19314,-1,-1
2017-09-27,-1,2522,-1,-1
2018-02-08,【蔡徐坤】巨虐粉虐心视频堪比眼药水！百万粉丝看完竟全部落泪！,25456,http://www.bilibili.com/video/av19329146,19329146
2018-04-22,-1,3160,-1,-1
2018-05-01,-1,13347,-1,-1
2018-05-10,-1,20461,-1,-1
2018-05-25,-1,1756,-1,-1
2018-05-26,20180526 NinePercent 北京见面会全场超清完整正面全景合集,24817,http://www.bilibili.com/video/av23986500,23986500
2018-08-26,-1,22560,-1,-1
2018-11-28,-1,15716,-1,-1
2018-11-29,-1,1165,-1,-1
2018-11-30,-1,846,-1,-1
2018-12-29,-1,156,-1,-1
2019-01-02,【名场面】2018年名场面候选，跑调，车祸，对嘴，假唱，以及沙雕时刻，出场人物:洛天依，薛之谦，杨颖，王鹤棣，蔡徐坤，汪峰，李荣浩，火箭少女，吴谨言，许凯,29175,http://www.bilibili.com/video/av39746233,39746233
2019-01-26,-1,3898,-1,-1
2019-01-30,-1,7587,-1,-1
2019-02-13,-1,495,-1,-1
2019-02-14,蔡徐坤打球很菜？喷子们都来看看吧,34633,http://www.bilibili.com/video/av43514593,43514593
2019-02-16,-1,5380,-1,-1
2019-02-18,-1,11852,-1,-1
2019-02-22,【大事件】谢广坤拿下顶级流量，理性ikun屡建奇功 暴走大事件第六季 08,102951,http://www.bilibili.com/video/av44388377,44388377
2019-02-24,喷蔡徐坤的直接滚进来行吗？这才是他真正的实力！！！,34000,http://www.bilibili.com/video/av44589850,44589850
2019-02-26,-1,12853,-1,-1
2019-02-27,【公开处刑】卢姥爷VS蔡徐坤篮球实力pk,28472,http://www.bilibili.com/video/av44847662,44847662
2019-03-01,-1,19122,-1,-1
2019-03-03,-1,31,-1,-1
2019-03-07,-1,181,-1,-1
2019-03-08,-1,12379,-1,-1
2019-03-09,-1,12022,-1,-1
2019-03-12,-1,2764,-1,-1
2019-03-16,-1,3481,-1,-1
2019-03-18,-1,7877,-1,-1
2019-03-22,-1,9286,-1,-1
2019-03-23,-1,2275,-1,-1
2019-03-23,-1,868,-1,-1
2019-03-24,-1,663,-1,-1
2019-03-25,-1,6785,-1,-1
2019-03-26,-1,8627,-1,-1
2019-03-26,手绘700帧！完美还原蔡徐坤打篮球！鸡你太美~,55154,http://www.bilibili.com/video/av47441335,47441335
2019-03-27,-1,4256,-1,-1
2019-03-27,-1,2236,-1,-1
2019-03-28,-1,9170,-1,-1
2019-03-29,-1,6250,-1,-1
2019-03-29,-1,4402,-1,-1
2019-03-29,-1,9282,-1,-1
2019-03-29,-1,7056,-1,-1
2019-03-29,-1,8055,-1,-1
2019-03-30,-1,1836,-1,-1
2019-03-30,-1,1718,-1,-1
2019-03-31,-1,14036,-1,-1
2019-03-31,-1,17313,-1,-1
2019-04-01,-1,4583,-1,-1
2019-04-01,-1,4674,-1,-1
2019-04-02,-1,4294,-1,-1
2019-04-03,-1,1645,-1,-1
2019-04-04,-1,3780,-1,-1
2019-04-04,-1,1208,-1,-1
2019-04-05,-1,2608,-1,-1
2019-04-05,-1,2925,-1,-1
2019-04-05,-1,12358,-1,-1
2019-04-05,-1,10708,-1,-1
2019-04-05,-1,7022,-1,-1
2019-04-05,-1,5062,-1,-1
2019-04-05,-1,10054,-1,-1
2019-04-05,-1,12083,-1,-1
2019-04-06,-1,8912,-1,-1
2019-04-07,-1,5217,-1,-1
2019-04-08,-1,9471,-1,-1
2019-04-08,-1,5000,-1,-1
