pubdate,title,duration,arcurl,aid
2016-12-14,-1,3.75,-1,-1
2017-09-27,-1,1.77,-1,-1
2018-02-08,-1,4.03,-1,-1
2018-04-22,-1,5.22,-1,-1
2018-05-01,-1,4.45,-1,-1
2018-05-10,-1,3.12,-1,-1
2018-05-25,-1,6.03,-1,-1
2018-05-26,20180526 NinePercent 北京见面会全场超清完整正面全景合集,91.88,http://www.bilibili.com/video/av23986500,23986500
2018-08-26,-1,6.88,-1,-1
2018-11-28,-1,3.07,-1,-1
2018-11-29,社死！在酒吧做驻唱，客人非要点鸡你太美，怎么办？【流浪05】,14.65,http://www.bilibili.com/video/av259520400,259520400
2018-11-29,大坤坤竟想过偷拿宝哥号上的东西！不过宝哥贼精！一眼就看出不对劲！,14.65,http://www.bilibili.com/video/av36993260,36993260
2018-11-30,-1,4.98,-1,-1
2018-12-29,-1,0.47,-1,-1
2019-01-02,-1,5.98,-1,-1
2019-01-26,-1,3.97,-1,-1
2019-01-30,-1,7.93,-1,-1
2019-02-13,-1,4.63,-1,-1
2019-02-14,-1,1.38,-1,-1
2019-02-16,-1,3.72,-1,-1
2019-02-18,-1,2.65,-1,-1
2019-02-22,【大事件】谢广坤拿下顶级流量，理性ikun屡建奇功 暴走大事件第六季 08,18.05,http://www.bilibili.com/video/av44388377,44388377
2019-02-24,-1,4.4,-1,-1
2019-02-26,-1,1.57,-1,-1
2019-02-27,-1,4.13,-1,-1
2019-03-01,-1,2.02,-1,-1
2019-03-03,-1,0.18,-1,-1
2019-03-07,-1,2.62,-1,-1
2019-03-08,-1,0.47,-1,-1
2019-03-09,-1,3.67,-1,-1
2019-03-12,-1,1.53,-1,-1
2019-03-16,-1,1.63,-1,-1
2019-03-18,-1,1.82,-1,-1
2019-03-22,-1,8.35,-1,-1
2019-03-23,-1,1.1,-1,-1
2019-03-23,-1,0.38,-1,-1
2019-03-24,-1,1.07,-1,-1
2019-03-25,-1,6.8,-1,-1
2019-03-26,-1,1.85,-1,-1
2019-03-26,-1,1.35,-1,-1
2019-03-27,-1,1.4,-1,-1
2019-03-27,-1,0.77,-1,-1
2019-03-28,-1,1.47,-1,-1
2019-03-29,-1,1.88,-1,-1
2019-03-29,-1,10.18,-1,-1
2019-03-29,-1,1.77,-1,-1
2019-03-29,-1,0.6,-1,-1
2019-03-29,-1,1.57,-1,-1
2019-03-30,-1,1.57,-1,-1
2019-03-30,-1,1.05,-1,-1
2019-03-31,-1,4.07,-1,-1
2019-03-31,-1,6.4,-1,-1
