pubdate,title,play,arcurl,aid
2016-12-14,-1,1809669,-1,-1
2017-09-27,-1,1895890,-1,-1
2018-02-08,-1,832510,-1,-1
2018-04-22,-1,785331,-1,-1
2018-05-01,-1,2192245,-1,-1
2018-05-10,-1,2047712,-1,-1
2018-05-25,-1,1304759,-1,-1
2018-05-26,-1,878638,-1,-1
2018-08-26,-1,4877589,-1,-1
2018-11-28,-1,4311013,-1,-1
2018-11-29,-1,831314,-1,-1
2018-11-30,-1,652670,-1,-1
2018-12-29,-1,593840,-1,-1
2019-01-02,-1,2125841,-1,-1
2019-01-26,-1,608783,-1,-1
2019-01-30,-1,1815222,-1,-1
2019-02-13,-1,888988,-1,-1
2019-02-14,蔡徐坤打球很菜？喷子们都来看看吧,13367828,http://www.bilibili.com/video/av43514593,43514593
2019-02-16,-1,2488454,-1,-1
2019-02-18,-1,1677865,-1,-1
2019-02-22,-1,3403823,-1,-1
2019-02-24,-1,2871857,-1,-1
2019-02-26,-1,2378448,-1,-1
2019-02-27,-1,3429629,-1,-1
2019-03-01,-1,3494953,-1,-1
2019-03-03,-1,774572,-1,-1
2019-03-07,-1,727151,-1,-1
2019-03-08,-1,1930757,-1,-1
2019-03-09,-1,1875787,-1,-1
2019-03-12,-1,2078868,-1,-1
2019-03-16,-1,1257228,-1,-1
2019-03-18,-1,1841492,-1,-1
2019-03-22,-1,698447,-1,-1
2019-03-23,-1,2007846,-1,-1
2019-03-23,-1,1297877,-1,-1
2019-03-24,-1,758495,-1,-1
2019-03-25,-1,1820743,-1,-1
2019-03-26,-1,3128492,-1,-1
2019-03-26,手绘700帧！完美还原蔡徐坤打篮球！鸡你太美~,18279140,http://www.bilibili.com/video/av47441335,47441335
2019-03-27,-1,1820889,-1,-1
2019-03-27,-1,2552120,-1,-1
2019-03-28,-1,1998723,-1,-1
2019-03-29,-1,1471307,-1,-1
2019-03-29,-1,6120471,-1,-1
2019-03-29,-1,803927,-1,-1
2019-03-29,-1,1060026,-1,-1
2019-03-29,-1,3525442,-1,-1
2019-03-30,-1,1864693,-1,-1
2019-03-30,-1,1897965,-1,-1
2019-03-31,-1,1777121,-1,-1
2019-03-31,-1,1650510,-1,-1
2019-04-01,-1,2686780,-1,-1
2019-04-01,-1,1719138,-1,-1
2019-04-02,-1,1534433,-1,-1
2019-04-03,-1,1098257,-1,-1
2019-04-04,-1,1346450,-1,-1
