pubdate_x,title,review,arcurl,aid
2016-12-14,SWIN《只因你太美》练习室完整版,8299,http://www.bilibili.com/video/av7519817,7519817
2017-09-27,京东聚餐上，女员工向刘强东说自己怀孕了，刘强东的反应让员工吓尿了。。。,8313,http://www.bilibili.com/video/av14858016,14858016
2018-02-08,【蔡徐坤】巨虐粉虐心视频堪比眼药水！百万粉丝看完竟全部落泪！,8727,http://www.bilibili.com/video/av19329146,19329146
2018-04-22,-1,322,-1,22446238
2018-05-01,【刘老师】逆天吐槽蔡徐坤被女孩子欺负的青春偶像剧《我才不会被女孩子欺负呢》,8207,http://www.bilibili.com/video/av22802047,22802047
2018-05-10,-1,7696,-1,23232725
2018-05-25,-1,239,-1,388917221
2018-05-25,-1,239,-1,23920019
2018-05-25,-1,239,-1,613821501
2018-05-26,-1,460,-1,860281451
2018-05-26,-1,460,-1,390190772
2018-05-26,-1,460,-1,23986500
2018-05-26,-1,460,-1,651788969
2018-05-26,-1,460,-1,303552509
2018-05-26,-1,460,-1,904943933
2018-05-26,-1,460,-1,256322464
2018-05-26,-1,460,-1,385481922
2018-08-26,-1,6005,-1,30366455
2018-11-28,-1,1696,-1,36924270
2018-11-29,-1,766,-1,36993260
2018-11-29,-1,766,-1,904942072
2018-11-30,-1,446,-1,37056631
2018-12-29,-1,290,-1,691135826
2018-12-29,-1,290,-1,305581633
2018-12-29,-1,290,-1,39346340
2019-01-02,-1,2280,-1,39746233
2019-01-26,-1,2222,-1,41721035
2019-01-26,-1,2222,-1,474219455
2019-01-30,-1,4176,-1,42186772
2019-02-13,-1,344,-1,731263046
2019-02-13,-1,344,-1,43379301
2019-02-13,-1,344,-1,438403692
2019-02-14,蔡徐坤打球很菜？喷子们都来看看吧,21593,http://www.bilibili.com/video/av43514593,43514593
2019-02-16,-1,3416,-1,43749104
2019-02-18,-1,5816,-1,44006852
2019-02-22,【大事件】谢广坤拿下顶级流量，理性ikun屡建奇功 暴走大事件第六季 08,8654,http://www.bilibili.com/video/av44388377,44388377
2019-02-24,喷蔡徐坤的直接滚进来行吗？这才是他真正的实力！！！,13684,http://www.bilibili.com/video/av44589850,44589850
2019-02-26,【蔡徐坤手书】Fly Me to the Star,22897,http://www.bilibili.com/video/av44793800,44793800
2019-02-27,-1,4879,-1,44847662
2019-03-01,-1,6682,-1,45049237
2019-03-03,-1,153,-1,735886883
2019-03-03,-1,153,-1,45233706
2019-03-03,-1,153,-1,310007680
2019-03-07,-1,263,-1,45568788
2019-03-07,-1,263,-1,217371590
2019-03-08,-1,7460,-1,45643357
2019-03-09,-1,5376,-1,45823958
2019-03-12,-1,4834,-1,46078989
2019-03-16,-1,3652,-1,46436483
2019-03-18,-1,6079,-1,46680594
2019-03-22,-1,3510,-1,46981352
2019-03-23,-1,958,-1,84776370
2019-03-23,-1,958,-1,47143398
2019-03-23,-1,958,-1,629257183
2019-03-23,-1,3842,-1,47115324
2019-03-24,-1,1301,-1,800050510
2019-03-24,-1,1301,-1,293178266
2019-03-24,-1,1301,-1,47143871
2019-03-25,-1,1389,-1,352985966
2019-03-25,-1,1389,-1,47361980
2019-03-26,-1,7079,-1,47379383
2019-03-26,手绘700帧！完美还原蔡徐坤打篮球！鸡你太美~,33037,http://www.bilibili.com/video/av47441335,47441335
2019-03-27,-1,4309,-1,47534221
2019-03-27,-1,3209,-1,47470901
2019-03-28,-1,2681,-1,47519527
2019-03-29,-1,4822,-1,47660954
2019-03-29,-1,1940,-1,47660708
2019-03-29,-1,1940,-1,581347693
2019-03-29,-1,4049,-1,47652344
2019-03-29,-1,1951,-1,47654003
2019-03-29,-1,6360,-1,47691378
2019-03-30,-1,1341,-1,47731203
2019-03-30,-1,1752,-1,47794905
2019-03-31,-1,7445,-1,47939987
2019-03-31,远古视频,8331,http://www.bilibili.com/video/av47923981,47923981
2019-04-01,-1,3544,-1,47935041
2019-04-01,-1,4815,-1,47979370
2019-04-02,-1,4727,-1,48078985
2019-04-03,-1,2012,-1,48126612
2019-04-03,-1,2012,-1,783604394
2019-04-04,-1,2350,-1,48235122
2019-04-04,-1,397,-1,474098503
2019-04-04,-1,397,-1,515188163
2019-04-04,-1,397,-1,48231038
2019-04-05,-1,3809,-1,48343927
2019-04-05,-1,1543,-1,48368873
2019-04-05,-1,1543,-1,745662728
2019-04-05,-1,2414,-1,48310605
2019-04-05,-1,2414,-1,617114116
2019-04-05,-1,5693,-1,48311783
2019-04-05,-1,2837,-1,48348061
2019-04-05,-1,950,-1,303546084
2019-04-05,-1,950,-1,48312629
2019-04-05,-1,1900,-1,48267546
2019-04-05,蔡徐坤原版，鸡你太美～,7785,http://www.bilibili.com/video/av48380566,48380566
2019-04-06,-1,2704,-1,48446909
2019-04-07,-1,2330,-1,48604568
2019-04-08,-1,3358,-1,48713927
2019-04-08,-1,3603,-1,48745865
2019-04-09,-1,1246,-1,341965702
2019-04-09,【蔡徐坤】放荡不羁电音之舞,28943,http://www.bilibili.com/video/av48828477,48828477
2019-04-09,-1,2193,-1,609674221
2019-04-09,-1,2193,-1,48848952
2019-04-09,-1,1049,-1,562862344
2019-04-09,-1,1049,-1,48807034
2019-04-09,-1,1246,-1,48790675
2019-04-09,-1,3172,-1,48743062
2019-04-09,蔡徐坤被篮球暴打,14813,http://www.bilibili.com/video/av48788630,48788630
2019-04-09,-1,1246,-1,854467722
2019-04-09,-1,1246,-1,385673297
2019-04-09,-1,2175,-1,48804637
2019-04-11,-1,1069,-1,49025651
2019-04-11,-1,2356,-1,49016287
2019-04-11,-1,3297,-1,49023234
2019-04-11,-1,3771,-1,48996372
2019-04-12,-1,7426,-1,49097118
2019-04-12,【六小龄童vs蔡徐坤】回应被b站鬼畜的反应，高下立判，什么叫老艺术家啊？,16034,http://www.bilibili.com/video/av49103211,49103211
2019-04-12,-1,2678,-1,49060183
2019-04-13,-1,2984,-1,49184123
2019-04-13,-1,4556,-1,49126533
2019-04-13,-1,4250,-1,48967832
2019-04-13,-1,4314,-1,49138107
2019-04-13,-1,1110,-1,49158132
2019-04-13,-1,4943,-1,49138867
2019-04-13,-1,1110,-1,907342743
2019-04-14,-1,6821,-1,49309210
2019-04-14,-1,4960,-1,49342198
2019-04-14,-1,4217,-1,49273819
2019-04-14,-1,3584,-1,386116139
2019-04-14,-1,3584,-1,49249061
