group,variable,value
2016-12,cxk,1
2017-09,cxk,1
2018-02,cxk,1
2018-04,cxk,0
2018-05,cxk,1
2018-08,cxk,0
2018-11,cxk,1
2018-12,cxk,0
2019-01,cxk,2
2019-02,cxk,5
2019-03,cxk,19
2019-04,cxk,70
2019-05,cxk,26
2019-06,cxk,18
2019-07,cxk,41
2019-08,cxk,25
2019-09,cxk,15
2019-10,cxk,10
2019-11,cxk,9
2019-12,cxk,12
2020-01,cxk,10
2020-02,cxk,14
2020-03,cxk,18
2020-04,cxk,7
2020-05,cxk,5
2020-06,cxk,2
2020-07,cxk,2
2020-08,cxk,4
2020-09,cxk,1
2020-10,cxk,1
2020-11,cxk,1
2020-12,cxk,3
2021-01,cxk,4
2021-02,cxk,9
2021-03,cxk,5
2021-04,cxk,2
2021-05,cxk,1
2021-06,cxk,5
2021-07,cxk,4
2021-08,cxk,5
2021-09,cxk,6
2021-10,cxk,2
2021-11,cxk,3
2021-12,cxk,2
2022-01,cxk,1
2022-02,cxk,7
2022-03,cxk,5
2022-04,cxk,14
2022-05,cxk,17
2022-06,cxk,61
2022-07,cxk,172
2022-08,cxk,153
2022-09,cxk,134
2022-10,cxk,113
2022-11,cxk,101
2022-12,cxk,90
2023-01,cxk,99
2023-02,cxk,68
2023-03,cxk,60
2023-04,cxk,75
2023-05,cxk,53
2023-06,cxk,68
2023-07,cxk,56
2023-08,cxk,18
2023-09,cxk,8
2023-10,cxk,5
2023-11,cxk,8
2023-12,cxk,13
2024-01,cxk,15
2024-02,cxk,3
2016-12,beautiful,0
2017-09,beautiful,0
2018-02,beautiful,0
2018-04,beautiful,0
2018-05,beautiful,0
2018-08,beautiful,0
2018-11,beautiful,0
2018-12,beautiful,0
2019-01,beautiful,0
2019-02,beautiful,0
2019-03,beautiful,3
2019-04,beautiful,44
2019-05,beautiful,11
2019-06,beautiful,7
2019-07,beautiful,14
2019-08,beautiful,11
2019-09,beautiful,7
2019-10,beautiful,3
2019-11,beautiful,2
2019-12,beautiful,6
2020-01,beautiful,6
2020-02,beautiful,10
2020-03,beautiful,6
2020-04,beautiful,2
2020-05,beautiful,2
2020-06,beautiful,1
2020-07,beautiful,1
2020-08,beautiful,2
2020-09,beautiful,1
2020-10,beautiful,2
2020-11,beautiful,2
2020-12,beautiful,3
2021-01,beautiful,3
2021-02,beautiful,1
2021-03,beautiful,3
2021-04,beautiful,0
2021-05,beautiful,1
2021-06,beautiful,1
