month,count
2016-12,1
2017-09,1
2018-02,1
2018-04,1
2018-05,4
2018-08,1
2018-11,3
2018-12,1
2019-01,3
2019-02,8
2019-03,27
2019-04,91
2019-05,34
2019-06,30
2019-07,49
2019-08,36
2019-09,18
2019-10,11
2019-11,10
2019-12,21
2020-01,19
2020-02,19
2020-03,21
2020-04,10
2020-05,10
2020-06,6
2020-07,3
2020-08,4
2020-09,3
2020-10,4
2020-11,4
2020-12,6
2021-01,9
2021-02,11
2021-03,8
2021-04,3
2021-05,5
2021-06,5
2021-07,8
2021-08,7
2021-09,9
2021-10,5
2021-11,9
2021-12,5
2022-01,9
2022-02,9
2022-03,13
2022-04,28
2022-05,51
2022-06,114
2022-07,262
2022-08,275
2022-09,222
2022-10,220
2022-11,199
2022-12,183
2023-01,202
2023-02,135
2023-03,125
2023-04,138
2023-05,123
2023-06,144
2023-07,106
2023-08,95
2023-09,39
2023-10,32
2023-11,40
2023-12,64
2024-01,60
2024-02,13
