pubdate,aid,arcurl,title,play,review,favorites,danmaku,like,duration_minutes
2016-12-14,7519817,http://www.bilibili.com/video/av7519817,SWIN《只因你太美》练习室完整版,1809669,8299,17587,19314,30733,3.75
2017-09-27,14858016,http://www.bilibili.com/video/av14858016,京东聚餐上，女员工向刘强东说自己怀孕了，刘强东的反应让员工吓尿了。。。,1895890,8313,7429,2522,2690,1.77
2018-02-08,19329146,http://www.bilibili.com/video/av19329146,【蔡徐坤】巨虐粉虐心视频堪比眼药水！百万粉丝看完竟全部落泪！,832510,8727,16309,25456,20232,4.03
2018-04-22,22446238,http://www.bilibili.com/video/av22446238,【偶像练习生】看看韩国街头路人的颜值pick是？（韩国女生看偶像练习生）,785331,322,1490,3160,1267,5.22
2018-05-01,22802047,http://www.bilibili.com/video/av22802047,【刘老师】逆天吐槽蔡徐坤被女孩子欺负的青春偶像剧《我才不会被女孩子欺负呢》,2192245,8207,4101,13347,32590,4.45
2018-05-10,23232725,http://www.bilibili.com/video/av23232725,传说中蔡徐坤圈粉舞台《巴比龙》，来感受一下什么水平,2047712,7696,3191,20461,7673,3.12
2018-05-25,23920019,http://www.bilibili.com/video/av23920019,坤坤带来5种花式热狗，到底有多美味呢？,1304759,239,5112,1756,3891,6.03
2018-05-26,23986500,http://www.bilibili.com/video/av23986500,20180526 NinePercent 北京见面会全场超清完整正面全景合集,878638,460,41350,24817,19603,91.88
2018-08-26,30366455,http://www.bilibili.com/video/av30366455,可能是中国三观最正的渣男！！真的real~你好骚啊skrskr,4877589,6005,46407,22560,60536,6.88
2018-11-28,36924270,http://www.bilibili.com/video/av36924270,【大型粉丝拆台现场合集一】笑到头掉哈哈哈这届粉丝真的很会拆台，太难带了！,4311013,1696,52262,15716,85004,3.07
2018-11-29,36993260,http://www.bilibili.com/video/av36993260,大坤坤竟想过偷拿宝哥号上的东西！不过宝哥贼精！一眼就看出不对劲！,831314,766,925,1165,7759,14.65
2018-11-30,37056631,http://www.bilibili.com/video/av37056631,沈腾：我保护眼睛，基本不看书，郭德纲：不认字儿就说不认字儿啊,652670,446,1113,846,2428,4.98
2018-12-29,39346340,http://www.bilibili.com/video/av39346340,看看伽椰子小姐姐和萌萌的俊雄的温馨日常,593840,290,2086,156,5381,0.47
2019-01-02,39746233,http://www.bilibili.com/video/av39746233,【名场面】2018年名场面候选，跑调，车祸，对嘴，假唱，以及沙雕时刻，出场人物:洛天依，薛之谦，杨颖，王鹤棣，蔡徐坤，汪峰，李荣浩，火箭少女，吴谨言，许凯,2125841,2280,13529,29175,20653,5.98
2019-01-26,41721035,http://www.bilibili.com/video/av41721035,旭旭宝宝苍穹太刀终上15！国服第一红眼王者归来！大坤坤立大功！!,608783,2222,2876,3898,12435,3.97
2019-01-30,42186772,http://www.bilibili.com/video/av42186772,孙笑川亲自评价蔡徐坤球技什么水平,1815222,4176,12967,7587,21443,7.93
2019-02-13,43379301,http://www.bilibili.com/video/av43379301,宝哥在大坤坤直播间疯狂带节奏！大坤坤崩溃了！直播间一分钟乱了！,888988,344,825,495,6116,4.63
2019-02-14,43514593,http://www.bilibili.com/video/av43514593,蔡徐坤打球很菜？喷子们都来看看吧,13367828,21593,17068,34633,191525,1.38
2019-02-16,43749104,http://www.bilibili.com/video/av43749104,翟天临、靳东，一个人越是没文化越是喜欢装,2488454,3416,7367,5380,38733,3.72
2019-02-18,44006852,http://www.bilibili.com/video/av44006852,这可能是b站最早模仿蔡徐坤的up主,1677865,5816,10675,11852,51178,2.65
2019-02-22,44388377,http://www.bilibili.com/video/av44388377,【大事件】谢广坤拿下顶级流量，理性ikun屡建奇功 暴走大事件第六季 08,3403823,8654,252,102951,126905,18.05
2019-02-24,44589850,http://www.bilibili.com/video/av44589850,喷蔡徐坤的直接滚进来行吗？这才是他真正的实力！！！,2871857,13684,9844,34000,70568,4.4
2019-02-26,44793800,http://www.bilibili.com/video/av44793800,【蔡徐坤手书】Fly Me to the Star,2378448,22897,44909,12853,120890,1.57
2019-02-27,44847662,http://www.bilibili.com/video/av44847662,【公开处刑】卢姥爷VS蔡徐坤篮球实力pk,3429629,4879,12121,28472,45145,4.13
2019-03-01,45049237,http://www.bilibili.com/video/av45049237,蔡徐坤打篮球火到国外！海外网友如何评价蔡徐坤打篮球？有翻译,3494953,6682,6678,19122,26412,2.02
2019-03-03,45233706,http://www.bilibili.com/video/av45233706,亚洲巨兽鹿晨辉致敬坤坤美国校队运球！,774572,153,560,31,2424,0.18
2019-03-07,45568788,http://www.bilibili.com/video/av45568788,暗枪buff不用学了？大坤坤发现旭旭宝宝的暗枪居然没加buff,727151,263,320,181,4920,2.62
2019-03-08,45643357,http://www.bilibili.com/video/av45643357,京了 蔡徐坤居然把自己用过的唇膏丢给粉丝 这也太宠粉了8！！,1930757,7460,7149,12379,18709,0.47
2019-03-09,45823958,http://www.bilibili.com/video/av45823958,蔡徐坤的“鸡你太美原曲”,1875787,5376,2525,12022,8704,3.67
2019-03-12,46078989,http://www.bilibili.com/video/av46078989,你们别黑蔡徐坤了，这才是他打篮球的真正实力,2078868,4834,6142,2764,58196,1.53
2019-03-16,46436483,http://www.bilibili.com/video/av46436483,蔡徐坤 只因你太美 网易云评论,1257228,3652,1233,3481,6632,1.63
2019-03-18,46680594,http://www.bilibili.com/video/av46680594,潘长江因不认识蔡徐坤被惨骂14天，直播回应：这臭小子不错，不认识小鲜肉我有什么错，姓蔡的我只认识蔡明！,1841492,6079,5286,7877,24111,1.82
2019-03-22,46981352,http://www.bilibili.com/video/av46981352,地球遭遇史上最大危机，ikun空前大集合拯救KUN星。流量元年就此起航，高燃巨制《流量地球》，ikun空前大集合！,698447,3510,21491,9286,64696,8.35
2019-03-23,47143398,http://www.bilibili.com/video/av47143398,外国黑胖版：《鸡你太美》,1297877,958,11747,868,17730,0.38
2019-03-23,47115324,http://www.bilibili.com/video/av47115324,用200多张画还原蔡徐坤打篮球,2007846,3842,27482,2275,86561,1.1
2019-03-24,47143871,http://www.bilibili.com/video/av47143871,耗时半月，忠实还原篮球独秀蔡徐坤帅气英姿,758495,1301,8687,663,25199,1.07
2019-03-25,47361980,http://www.bilibili.com/video/av47361980,【翻唱】真实还原蔡徐坤的唱功 |《wait wait wait》清唱版 | 如果去掉伴奏会怎样,1820743,1389,11826,6785,31933,6.8
2019-03-26,47441335,http://www.bilibili.com/video/av47441335,手绘700帧！完美还原蔡徐坤打篮球！鸡你太美~,18279140,33037,200487,55154,732165,1.35
2019-03-26,47379383,http://www.bilibili.com/video/av47379383,【蔡徐坤】篮球场上出现了新的垃圾话：蔡徐坤！蔡徐坤！蔡徐坤！！简直就是破坏发球的神语言！,3128492,7079,9831,8627,26531,1.85
2019-03-27,47470901,http://www.bilibili.com/video/av47470901,【火影】黑粉们蔡徐坤不仅会打球还是个火影，会结印,1820889,3209,24435,4256,48868,1.4
2019-03-27,47534221,http://www.bilibili.com/video/av47534221,【PS】当YouTube第一订阅看到蔡徐坤打球,2552120,4309,5790,2236,16042,0.77
2019-03-28,47519527,http://www.bilibili.com/video/av47519527,笑死我了！蔡徐坤“鸡你太美”倒放=“你没鸡鸡”？,1998723,2681,20239,9170,30114,1.47
2019-03-29,47691378,http://www.bilibili.com/video/av47691378,这可能是模仿蔡徐坤打篮球最真实的视频,6120471,6360,27197,7056,99261,0.6
2019-03-29,47660954,http://www.bilibili.com/video/av47660954,不要再黑蔡徐坤了！为什么要黑坤坤？,803927,4822,6651,9282,31277,10.18
